lr-Adam,step,val_loss,epoch,train_loss,test_loss
0.0005,0,,,,
,58,0.01650075986981392,0,,
,58,,0,0.022392036393284798,
0.0005,59,,,,
,117,0.015521479770541191,1,,
,117,,1,0.015909265726804733,
0.0005,118,,,,
,176,0.013379986397922039,2,,
,176,,2,0.014149264432489872,
0.0005,177,,,,
,235,0.008586689829826355,3,,
,235,,3,0.010703036561608315,
0.0005,236,,,,
,294,0.006078094709664583,4,,
,294,,4,0.007005557417869568,
0.0005,295,,,,
,353,0.0036619813181459904,5,,
,353,,5,0.0045852274633944035,
0.0005,354,,,,
,412,0.0027234810404479504,6,,
,412,,6,0.003232624614611268,
0.0005,413,,,,
,471,0.0023143822327256203,7,,
,471,,7,0.0024234254378825426,
0.0005,472,,,,
,530,0.0018814698560163379,8,,
,530,,8,0.001893528737127781,
0.0005,531,,,,
,589,0.00129268120508641,9,,
,589,,9,0.0015804468421265483,
0.0005,590,,,,
,648,0.0011893842602148652,10,,
,648,,10,0.001317155547440052,
0.0005,649,,,,
,707,0.0009855086682364345,11,,
,707,,11,0.0011127234902232885,
0.0005,708,,,,
,766,0.0009131946717388928,12,,
,766,,12,0.0009800491388887167,
0.0005,767,,,,
,825,0.0008148282067850232,13,,
,825,,13,0.0008596860570833087,
0.0005,826,,,,
,884,0.0006975361611694098,14,,
,884,,14,0.0007416729931719601,
0.0005,885,,,,
,943,0.0005426344578154385,15,,
,943,,15,0.000662897655274719,
0.0005,944,,,,
,1002,0.0005752113065682352,16,,
,1002,,16,0.000560952874366194,
0.0005,1003,,,,
,1061,0.00037546781823039055,17,,
,1061,,17,0.0005025556893087924,
0.0005,1062,,,,
,1120,0.00039766018744558096,18,,
,1120,,18,0.00046471014502458274,
0.0005,1121,,,,
,1179,0.00038150278851389885,19,,
,1179,,19,0.00043951536645181477,
,1180,,20,,0.0003762789710890502
,1180,,20,,0.00043170811841264367
